Month,StartingCapital,EndingCapital,NetPnL,ReturnPct,TradingDays
2025-07,10000.0,8895.060000000027,-1104.9399999999723,-11.049399999999723,15
2025-08,8895.060000000025,7871.296666666663,-1023.7633333333616,-11.509347135751291,19
2025-09,7871.2966666666625,7440.89333333333,-430.4033333333326,-5.468010564968324,22
2025-10,7440.8933333333325,6446.393333333326,-994.5000000000063,-13.3653306861005,21
2025-11,6446.393333333325,5967.8433333333305,-478.5499999999945,-7.423530883936058,19
2025-12,5967.8433333333305,4814.92333333334,-1152.91999999999,-19.318871753223927,22
2026-01,4814.9233333333395,4286.710000000009,-528.2133333333306,-10.970337360857874,20
2026-02,4286.710000000009,3416.876666666662,-869.8333333333469,-20.29139674326803,21
2026-03,3416.876666666662,2805.769999999995,-611.106666666667,-17.88494951042037,19
2026-04,2805.7699999999945,2121.2866666666623,-684.4833333333322,-24.395561052165128,20
2026-05,2121.2866666666623,1453.5033333333288,-667.7833333333335,-31.480107984776605,19
2026-06,1453.5033333333286,592.1366666666638,-861.3666666666649,-59.26141666915116,21
2026-07,592.1366666666638,494.30333333333056,-97.83333333333326,-16.52208668043983,3
